,client_id,visit_id,variation
0,555,637149525_38041617439_716659,Test
1,647,40369564_40101682850_311847,Test
2,1195,393817425_39015278493_996341,Control
3,1336,583743392_96265099036_939815,Test
4,1516,255400977_38039535960_779641,Test
5,1643,753205700_16851596206_134483,Test
6,1755,420603142_53705621002_674558,Test
7,3232,842251962_41107309625_824575,Test
8,3572,353683085_82881264671_340960,Test
9,3743,438930656_9173628148_961548,Control
10,4369,656208801_69300634704_561318,Test
11,4603,737367756_66604855414_331627,Test
12,4717,57127699_86570634961_675092,Test
13,4870,873551439_92996250161_694958,Test
14,5354,192604721_14077630095_819213,Control
15,6642,261034804_26267268728_251909,Control
16,6904,15987159_15900720498_971848,Test
17,6977,613260866_97547229511_110040,Control
18,7563,258809082_93130763605_162548,Test
19,7567,479688167_74317487515_880130,Control
20,7723,36140743_8336766245_636783,Test
21,8055,591215489_42877226040_403051,Test
22,8101,108937428_94918779072_42035,Control
23,8820,784948529_13451538908_450982,Test
24,9767,144835432_25378933328_142085,Control
25,11040,397085842_12222861165_320419,Test
26,11122,117291376_25284975669_155364,Control
27,11309,810470354_19878806918_278799,Test
28,15189,190888402_43860806040_541800,Test
29,16098,467795137_58470186499_647303,Test
30,16747,710509256_16863194822_534405,Control
31,17008,783164451_73914575132_100535,Control
32,17036,5412690_51912871017_388447,Control
33,17160,721325432_59287115696_45567,Control
34,17170,112195503_4147328637_416285,Test
35,17404,595964339_68086747757_836162,Test
36,18549,215323502_66412461127_843587,Test
37,19782,595959804_30727742247_747416,Control
38,19832,328338410_97956782579_812900,Control
39,20537,361956812_35822130107_210159,Control
40,20643,976784655_22762149240_583677,Test
41,21242,49249722_23282484399_943418,Control
42,23864,862778992_82264184824_133012,Control
43,23914,597582580_91727141508_343145,Test
44,24710,372848838_26065165663_415154,Control
45,24841,459771761_81535230322_768844,Test
46,25022,660566305_80422203970_930581,Test
47,25043,577479025_23003224575_613058,Control
48,26036,414204466_74775563841_963704,Test
49,26070,158839867_85629749975_142552,Test
50,26211,759018254_96720413650_129156,Control
51,27075,847339667_23878418814_725972,Test
52,27554,139832184_11300974912_420847,Control
53,27907,245669313_55845221009_577387,Test
54,27988,886083511_19782087550_389870,Control
55,28371,669787535_2001405604_766210,Test
56,28542,171809703_96593828686_303644,Control
57,28705,985523128_60878108519_475101,Control
58,28845,580952843_92010541238_958716,Control
59,28857,799390760_4399594763_998748,Control
60,29595,253828702_4091182456_53800,Control
61,30318,94242687_26011774090_831254,Test
62,31336,296922855_83636314863_719152,Test
63,31404,978124541_68436648954_178305,Test
64,31597,600166727_58963640265_39538,Test
65,31715,270150115_26404318524_194346,Control
66,32197,993583906_25807203277_860781,Control
67,32521,217910228_66334118816_860018,Test
68,33190,147670519_51086053990_177899,Control
69,33265,559935292_41447444936_619191,Test
70,33472,924888231_78226178740_225058,Test
71,33752,134643104_24360993137_860696,Test
72,34267,675050464_40640179349_303380,Control
73,34603,264983456_55288849407_826462,Control
74,35138,750801449_41595515776_366601,Test
75,35181,95312600_32167455223_879994,Test
76,35257,792270484_79667424754_883949,Control
77,35346,16596855_24949200167_810598,Control
78,35417,605900266_15899735773_48030,Control
79,36109,323091457_98221684598_337461,Control
80,36342,645047305_23085918590_582192,Test
81,36363,230190780_40265705787_803867,Test
82,37408,87485400_37788346680_39057,Control
83,37667,748657992_72419971402_965674,Test
84,37705,692166582_67287072384_747957,Test
85,37897,230546925_53432959569_216507,Test
86,38340,110812049_21946570521_410833,Test
87,38551,638544702_77373552014_572090,Test
88,38685,180927713_23014874476_363056,Control
89,38714,800069931_72563880914_503531,Control
90,38963,967863339_1007074920_176089,Control
91,39075,898885344_90280540339_455548,Control
92,39566,967352007_45790274730_611537,Test
93,40439,955891944_45130120848_88900,Test
94,41122,290225500_25540519434_519044,Test
95,41199,647552139_48569565117_350431,Test
96,41516,535379787_70953770369_239486,Control
97,42349,502267956_71258094326_668821,Test
98,42725,24762310_39470410918_872096,Test
99,44860,794965500_18939486436_512171,Control
100,44932,550867472_4726630807_982457,Test
101,45510,908754911_34738618738_563447,Test
102,47571,113831903_66637399804_682438,Control
103,47933,307556867_98165379376_291369,Control
104,48431,684543557_74744216626_700180,Control
105,50053,117148374_23007934750_723969,Test
106,50090,438030125_81387028198_5339,Test
107,50185,183896514_46132778513_999591,Control
108,50271,475201178_31383506300_405176,Control
109,50325,551185193_55842044169_970707,Test
110,51493,589158940_48051862097_51642,Test
111,51706,82826369_17146795583_628815,Control
112,51814,412387210_89436250619_308924,Control
113,51902,335453040_3847193462_575230,Control
114,52111,82584123_82200827124_627189,Control
115,52461,510072961_45375022441_651014,Control
116,52765,473611699_88698300702_676504,Control
117,53094,209692687_657787229_421530,Control
118,53123,614415920_92013808329_545388,Control
119,53126,292502369_4064709550_81898,Control
120,54231,382469695_94657812814_22266,Test
121,54291,266600258_97583660405_671014,Control
122,54363,674254978_92905721633_451960,Control
123,54893,850012832_27444155456_83608,Test
124,55059,865259378_53104489234_966291,Test
125,55448,882125875_3305639408_136269,Control
126,58676,357712611_64009521863_877579,Control
127,58867,746825131_71132218048_826139,Test
128,59152,149051819_54345988042_988677,Test
129,59360,280647480_71759192564_656489,Test
130,60101,439746388_49694251242_856667,Test
131,60483,150083577_64987338638_925174,Test
