,logons_6_mnth,variation,gendr,clnt_age
41,9.0,Test,U,43.63
40,9.0,Test,M,52.17
39,9.0,Test,F,54.29
38,9.0,Control,U,42.26
37,9.0,Control,M,51.82
36,9.0,Control,F,52.77
33,8.0,Test,F,52.73
30,8.0,Control,F,53.57
31,8.0,Control,M,51.77
32,8.0,Control,U,44.85
34,8.0,Test,M,52.16
35,8.0,Test,U,44.44
29,7.0,Test,U,45.82
28,7.0,Test,M,51.33
27,7.0,Test,F,54.01
26,7.0,Control,U,45.06
25,7.0,Control,M,51.91
24,7.0,Control,F,53.54
22,6.0,Test,M,51.28
23,6.0,Test,U,44.9
21,6.0,Test,F,52.05
19,6.0,Control,M,51.41
18,6.0,Control,F,52.43
20,6.0,Control,U,43.66
13,5.0,Control,M,49.65
17,5.0,Test,U,43.83
16,5.0,Test,M,49.16
15,5.0,Test,F,51.7
14,5.0,Control,U,43.89
12,5.0,Control,F,51.03
8,4.0,Control,U,41.2
6,4.0,Control,F,49.72
7,4.0,Control,M,48.86
11,4.0,Test,U,42.86
9,4.0,Test,F,49.46
10,4.0,Test,M,49.16
3,3.0,Test,F,48.49
2,3.0,Control,U,41.84
1,3.0,Control,M,47.7
4,3.0,Test,M,47.43
5,3.0,Test,U,41.9
0,3.0,Control,F,48.22
