,0,1,2
0,934,7076463_57954418406_971348,Test
1,1028,557292053_87239438319_391157,Control
2,1197,71862471_21202285428_848395,Control
3,1336,614001770_19101025926_112779,Test
4,1346,27144337_83739845380_214282,Test
5,1516,481123290_95510977345_707323,Test
6,1643,633860590_96880450633_976109,Test
7,1702,243444359_78696078676_118990,Test
8,1702,733093772_49185493415_662403,Test
9,1702,825109778_55379502512_27372,Test
10,1836,275887696_51740057136_798210,Test
11,1836,624455994_87386716654_950064,Test
12,1936,943469853_76229226125_839996,Test
13,2720,565429886_73206140156_730955,Test
14,3647,53540785_76819002881_890663,Control
15,4484,66056328_29973355596_981576,Test
16,4603,238673227_44979180689_959603,Test
17,4717,272348829_81139455656_832357,Test
18,5845,568024739_52280552355_814744,Test
19,6022,90417311_41511510822_989121,Test
20,6985,702486929_79839403728_901057,Control
21,7020,61344667_49617029714_100250,Control
22,7561,728540633_30199135226_481610,Test
23,7657,155200945_99956206989_392959,Test
24,7934,404712182_59923370646_199213,Test
25,8610,243751268_9020460563_923194,Test
26,8712,102999029_97734962870_849096,Test
27,9229,794978950_70484965288_55630,Control
28,9751,158586948_58770146204_677956,Test
29,9767,489352012_61191794311_961146,Control
30,9916,451811817_84380249387_305604,Test
31,10344,595675198_11906913204_686811,Control
32,11054,175972021_93800420846_435503,Control
33,11070,681895519_7554253726_390001,Control
34,11309,383723927_78043022819_44680,Test
35,11880,131524079_26572064021_279117,Test
36,11880,464655605_59452399006_52329,Test
37,12785,475801280_89400626798_718400,Test
38,13009,377986493_6391607481_598681,Control
39,13735,906462602_58904346369_302554,Test
40,13831,146214316_74585352883_309974,Control
41,13831,89007579_77532175971_965339,Control
42,14690,110627488_22526312169_56361,Test
43,15050,111810502_99789384545_571230,Test
44,15753,395225539_72187591129_857978,Test
45,15753,899381947_58477487045_97772,Test
46,15807,361011438_92056875599_228427,Test
47,16135,134174297_19985183355_947935,Control
48,16135,252156179_52504721538_22420,Control
49,16295,558426632_81642086968_118345,Test
50,16549,64524171_30897881403_51439,Control
51,16549,987504726_72578887699_966535,Control
52,16679,85558076_31261622200_309744,Control
53,16744,597759195_79881251371_979710,Control
54,17318,701926986_42855851684_197456,Test
55,18549,903270355_9893847581_266828,Test
56,18660,599771749_31789266570_129560,Control
57,18973,877001573_38639169699_94006,Control
58,19060,31314165_21341421790_830646,Test
59,19813,143231681_56019816087_517213,Control
60,20091,521894990_91669109448_321090,Control
61,20185,10208508_48498393982_276767,Test
62,20185,291029569_37125028338_581986,Test
63,20564,256412057_32253956683_488364,Test
64,20668,54705633_98224234364_918665,Test
65,21200,356239026_86518334852_703966,Test
